title,desc,access,publisher,contact,email,bureauCode
Agency Parking,Agency parking application that provides the capability to record and query parking assignments. Access is limited to designated personnel of the Facilities and Logistics,non-public,Department of Energy,Brenda Coblentz,brenda.coblentz@hq.doe.gov,019:60
Artic Energy Webpage,"The Arctic Energy Office (AEO) serves as the principal advisor to the Under Secretary on all domestic Arctic issues, including energy, science, and national security. AEO has primary responsibility for coordinating efforts across the Department of Energy’s (DOE) Program Offices and National Laboratories to ensure a unified voice on all Arctic issues.",public,Artic Energy Office,George Roe,george.roe@hq.doe.gov,015:11
Artificial Intelligence and Technology,Coordinate responsible and trustworthy artificial intelligence (AI) governance and capabilities.  AITO is the connective tissue for all things AI at the Department of Energy.,public,Artificial Intelligence and Technology,Jonnie Bradley,jonnie.bradley@hq.doe.gov,015:11
Clean Energy Demonstrations,"The Office of Clean Energy Demonstrations (OCED) was established in December 2021 as part of the Bipartisan Infrastructure Law to accelerate clean energy technologies from the lab to market and fill a critical innovation gap on the path to achieving our nation’s climate goals of net zero emissions by 2050.

OCED’s mission is to deliver clean energy demonstration projects at scale in partnership with the private sector to accelerate deployment, market adoption, and the equitable transition to a decarbonized energy system.",public,Office of Clean Energy Demonstrations,Kelly Cummins,kelly.cummins@hq.doe.gov,015:11
Congressional and Intergovernmental Affairs webpage,"The Office of Congressional and Intergovernmental Affairs is dedicated to its mission of providing guidance on legislative and policy issues, informing constituencies on energy matters, and serving as a liaison between the Department, Congress, State, local, and Tribal governments, as well as other Federal agencies and stakeholder groups.",public,DOE Congressional and Intergovernmental Affairs,Shari Davenport,shari.davenport@hq.doe.gov,019:00
Cybersecurity-Energy Security-and Emergency Response,"To enhance the security and resilience of U.S. critical energy infrastructure to all hazards, mitigate the impacts of disruptive events and risk to the sector overall through preparedness and innovation, and respond to and facilitate recovery from energy disruptions in collaboration with other Federal agencies, the private sector, and State, local, tribal, and territory governments.",public,"Office of Cybersecurity, Energy Security, and Emergency Response",Marsha Manning,marsha.manning@hq.doe.gov,015:11
DATA Act for U.S. Department of Energy,This is a link where the U.S. Department of Energy DATA Act reporting can be found.,public,Headquarters,Budget Office,The.Secretary@hq.doe.gov,019:00
Agency IT Policy Archive,IT Policy Archive,public,DOE,Cuttie Bacon,cuttie.bacon@hq.doe.gov,019:00
CIO Governance Board Membership List,A listing of all governance boards the DOE CIO is a member of. Agencies shall keep this list up to date at least annually beginning in April 2016.,public,Department of Energy,Doug Upperman,Doug.Upperman@hq.doe.gov,019:00
DOE FITARA Milestones,A listing of FITARA Milestone in JSON format.,public,Department of Energy,Jeffrey Williams,jeffrey.williams@hq.doe.gov,015:11
DOE Hearings and Appeals Case Decisions,"The Office of Hearings and Appeals (HG) is the quasi-judicial arm of the Department of Energy that conducts hearings and issues initial Departmental decisions with respect to a wide range of legal issues and programs delegated to the Office by the Secretary of Energy, including: 1) personnel security clearance eligibility determinations, 2) DOE contractor employee ""whistleblower"" cases, 3) Freedom of Information and Privacy Act appeals, as well as other appeals involving administrative determinations reached by Department officials, 4) Applications for Exception from the requirements of a DOE rule, regulation or order, and 5) Petitions for Special Redress seeking ""extraordinary relief"" -- apart from or in addition to -- any other remedy provided in the Department's enabling statutes.",public,DOE/Office of Hearings and Appeals,Fred Brown,Fred.Brown@hq.doe.gov,019:60
DOE IT Reform Cost Savings/Avoidance,"Per FITARA reporting requirements, this is the Department of Energy’s Realized Cost Savings and Avoidance Decisions.",public,Department of Energy,Michelle Miles,Michelle.Miles@hq.doe.gov,019:00
EISA Federal Covered Facility Management and Benchmarking Data Department of Energy,"This data illustrates Federal progress in meeting the requirements outlined in Section 432 of the Energy Independence and Security Act of 2007 (EISA 432) (42 U.S.C. 8253(f)).  The data is accessible through the FEMP EISA 432 Compliance Tracking System, which offers:  (1) Top-tier agency aggregates, representing all reported data subject to the EISA 432 requirements; (2) Facility-level detailed data that excludes information for facilities that have requested exemption from public disclosure for national-security purposes.",public,Office of Energy Efficiency and Renewable Energy,Chris Tremper,chris.tremper@ee.doe.gov,015:11
Enterprise Data Inventory,A JSON file of the datasets,public,DOE,Brenda Coblentz,brenda.coblentz@hq.doe.gov,019:00
Energy.gov,Energy.gov is hosted in the Drupal environment at a BlackMesh provided data center.  Public access information is continuously updated by various DOE elements in an unstructured format.,public,DOE Office of Chief Information Officer,Tom Oneill,Thomas.Oneill@hq.doe.gov,019:60
Federal Comprehensive Annual Performance Data Department of Energy,"This webpage contains sources of  (1) Data tables of federal agency energy and water consumption; (2) Interactive graphics associated with most data tables; (3) Energy costs by end-use sector and efficiency investment information; (4) Progress toward key goals outlined in the National Energy Conservation Policy Act, as amended (42 U.S.C. 8253-8258); Energy Policy Act of 2005 (42 U.S.C. 15852); (5) Historical data tables of agency energy use and costs by facility and mobility sectors by energy type are also available for fiscal year (FY) 1975 through FY 2020",public,Office of Energy Efficiency and Renewable Energy,Chris Tremper,chris.tremper@ee.doe.gov,015:11
Bureau IT Leadership Directory,A list of agency employees with the title of “chief information officer” or who performs the duties and responsibilities of a CIO but does not necessarily have the title of “CIO.”,public,Department of Energy,Doug Upperman,Doug.Upperman@hq.doe.gov,019:00
Grid Deployment Office,"The Grid Deployment Office (GDO) works to provide electricity to everyone, everywhere by maintaining and investing in critical generation facilities to ensure resource adequacy and improving and expanding transmission and distribution systems. Currently, the Office is focused on ensuring the resilience of critical power generation facilities like hydroelectric and nuclear facilities and developing high-capacity electric transmission lines nationwide. GDO’s work within the Transmission, Grid Modernization, and Power Generation Assistance Divisions will leverage unique authorities to drive transmission investment, improve resource adequacy by maintaining and investing in critical generation facilities, improve transmission and distribution system resilience, and provide access to technical assistance and national laboratory expertise, modeling, and analytical capabilities. 

Administering the Building a Better Grid Initiative, GDO works to modernize and upgrade the nation’s power sector, deploying cost-effective, cleaner, reliable, and more resilient electricity delivery technologies to Tribal, urban, and rural communities. With a strong commitment to collaboration, the office brings together community and industry stakeholders to identify national transmission and distribution needs.",public,Grid Deployment Office,Maria Robinson,maria.robinson@hq.doe.gov,015:11
ARPA-E Projects,ARPA-E’s initial $400 million budget was a part of the 2009 American Recovery and Reinvestment Act. ARPA-E received $180 million in Fiscal Year 2011 and $275 million in Fiscal Year 2012. Below you will find information on ARPA-E’s fiscal year budget requests.,public,DOE ARPA-E,Dane Boysen,dane.boysen@doe.gov,015:11
EHSS Web Services,"EHSS Web Services (AUWS) provides for the maintenance of content for EHSS information on Energy.Gov, Powerpedia and the EHSS intranet.",restricted public,DOE,Ray Holmer,raymond.holmer@hq.doe.gov,015:11
Declassification Mission Application Server (DMAS),"Declassification Mission Application Server (DMAS) is a collection of applications that support the department's classification mission.  Applications include the electronic Document Review System, electronic Publication system, electronic Classification Guidance System, OpenNet, Tracking and Distribution System and the Reference Library System.

[Applications include the Authorities and Training Tracking System (ATTS) which contains training records for individuals who have attended classification training courses and those individuals who have been granted official authorities such as Authorized Derivative Classifiers and Authorized Derivative De-classifiers , Executive Order Review System (EOReview) which contains information for tracking reviews of classified documents, Guidance Distribution Tracking System (GDTS) contains information used to distribute classification guidance, and Policy Reference Library System (PRL) is a reference library of scanned documents relevent to classification policy.]",restricted public,DOE,Ray Holmer,raymond.holmer@hq.doe.gov,019:10
EA Web Services (EAWS),"IEA Web Services (EAWS) provides for the maintenance of content for EA information on Energy.Gov, Powerpedia.",restricted public,DOE,Rudy Pino,rpino@ntc.doe.gov,019:00
Office of the Chief Information Officer web,"The mission of the Office of the Chief Information Officer (OCIO) is to enable the Department of Energy’s urgent missions in energy, science and nuclear security through the power of information and technology in a manner that balances risk with required outcomes in programs that span from open science to national security.",public,DOE Office of Chief Information Officer,CIO Webmaster,cio.webmaster@hq.doe.gov,019:00
Congressional and Intergovernmental Affairs Testimony,This site contains five years of testimonies.,public,DOE Congressional and Intergovernmental Affairs,Shari Davenport,shari.davenport@hq.doe.gov,019:00
Public Affairs Open Data,Public Affairs is responsible for the open data effort at DOE.,public,DOE Public Affairs,Marissa Newhall,marissa.newhall@hq.doe.gov,019:60
Economic Impact and Diversity webpage,"The Office of Economic Impact and Diversity develops and executes Department-wide policies to implement applicable legislation and Executive Orders that strengthen diversity goals affecting equal employment opportunities, small and disadvantaged businesses, minority educational institutions, and historically underrepresented communities.

Our mission is to identify and implement ways of ensuring that minorities are afforded an opportunity to participate fully in the energy programs of the Department. We encourage partnership opportunities with Minority Serving Institutions (Historically Black Colleges and Universities, Hispanic Serving Institutions, Asian American, Native American, and Pacific Islander Institutions, and Tribal Colleges and Universities) and other minority-owned and serving entities on our mission-critical work.

We serve as a strong advocate for equal employment opportunities, civil rights concerns, and non-discriminatory practices at the Department. In addition, the Office of Economic Impact and Diversity is charged with creating and sustaining a high performing, inclusive workforce by leveraging diversity and empowering all employees to achieve superior results in the service of our Nation.

Our office measures success in its effectiveness in aiding the disadvantaged in finding opportunities at the Department of Energy and in other Federal programs. Through extensive research and close partnerships, we have been able to specifically target barriers to minorities and execute strategies to overcome them. The Office of Economic Impact and Diversity is a model of how diversity positively impacts the Energy Department and provides a unique, cutting-edge quality to the Department.",public,Office of Civil Rights,Andre Sayles,andre.sayles@hq.doe.gov,019:00
Administrative Record Publishing Website,Website that communicates certain Hanford information to the public. Tri-party agreement.,public,DOE/Richland Operations and the Office of River Protection,Miljana Mijic,miljana_g_mijic@rl.gov,019:10
The Quadrennial Energy Review (QER),"Affordable, clean, and secure energy and energy services are essential for improving U.S. economic productivity, enhancing our quality of life, protecting our environment, and ensuring our Nation's security. To help the federal government meet these energy goals, President Obama issued a Presidential Memorandum on January 9 directing the administration to conduct a Quadrennial Energy Review (QER). As described in the President’s Climate Action Plan, this first-ever review will focus on energy infrastructure and will identify the threats, risks, and opportunities for U.S. energy and climate security, enabling the federal government to translate policy goals into a set of integrated actions. The Presidential Memorandum created an interagency task force co-chaired by the Director of the Office of Science and Technology Policy and the Special Assistant to the President for Energy and Climate Change. The Department of Energy will help coordinate interagency activities and provide policy analysis and modeling, and stakeholder engagement.",public,DOE Energy Policy and Systems Analysis,DOE-QTR2015 Mailbox,DOE-QTR2015@hq.doe.gov,015:11
Energy Policy and Systems Analysis webpage,"The Director of the Office of Energy Policy and Systems Analysis is the primary energy policy advisor to the Secretary and Deputy Secretary on domestic energy policy development and implementation as well as DOE policy analysis and activities.

The role of the Office of Energy Policy and Systems Analysis is to deliver unbiased energy analysis to the Department of Energy's leadership on existing and prospective energy-related policies, focusing in part on integrative analysis of energy systems.

The Office of Energy Policy and Systems Analysis includes the Secretariat of the Quadrennial Energy Review with primary responsibility for supporting the White House interagency process and providing to it data collection, analysis, stakeholder engagement, and data synthesis.",public,DOE Energy Policy and Systems Analysis,Melanie Kenderdine,melanie.kenderdine@hq.doe.gov,019:00
International Affairs webpage,"IA has the primary responsibility for coordinating the efforts of diverse elements in the Department to ensure a unified voice in our international energy policy. IA works closely with Departmental elements, other Federal agencies, national and international organizations and institutions, and the private sector to coordinate and align our international energy activities with our national energy policies. IA coordinates DOE international initiatives on clean energy, climate change, and technology exports.

IA works closely with DOE program Assistant Secretaries and other DOE Secretarial officers to identify top international priorities among the activities of the Department, and to engage with other Federal departments and agencies (including the National Security Council, Office of Management and Budget, and other White House offices), members of Congress and Congressional Committees, and energy producers and consumers.

The Assistant Secretary coordinates and manages DOE cooperation with counterparts from other nations and international organizations. IA also negotiates and manages a variety of bilateral and multilateral agreements with other countries and international agencies for cooperation in research and development for energy, environmental, and technology cooperation.",public,DOE International Affairs,Miyoshi W. Stith,miyoshi.stith@hq.doe.gov,019:00
Inspector General webpage,"Office of Inspector General mission is to help the Department and the American taxpayer by:

--Identifying opportunities for cost savings and operational efficiencies in Department programs; and 
--Returning hard dollars to the Department and the U.S. Treasury as a result of Office of Inspector General civil and criminal investigations. 

In our service we have:

--Assisted the Department, including the National Nuclear Security Administration, in identifying key management challenges such as the aging of the nuclear weapons complex infrastructure and the emerging human capital crisis; 
--Facilitated efforts to reform Department security, by identifying both systemic and situational vulnerabilities; 
--Annually audited the agency's financial statements, helping to ensure that the Department does that which every American business must do: balance its books; 
--Highlighted opportunities for reductions in overhead costs in environmental management and defense programs; 
--Investigated and helped bring to justice those who have committed crimes against the Department, with recent special emphasis on cyber crimes at an agency which owns and operates some of the most sophisticated supercomputers in the world; and 
--Issued a host of reports identifying concrete opportunities to reform Department: contract management; waste management; environment, safety and health stewardship; research and development; major facilities and project construction and operation; and human capital.",public,DOE Inspector General,Tara Porter,tara.porter@hq.doe.gov,019:00
Indian Energy Policy and Programs webpage,"The U.S. Department of Energy (DOE) Office of Indian Energy Policy and Programs, or the Office of Indian Energy, is charged by Congress to direct, foster, coordinate, and implement energy planning, education, management, and programs that assist tribes with energy development, capacity building, energy infrastructure, energy costs, and electrification of Indian lands and homes.

The Office of Indian Energy works within DOE, across government agencies, and with Indian Tribes and organizations to promote Indian energy policies and initiatives. The Office of Indian Energy performs these functions within the scope of DOE's mission and consistently with the federal government's trust responsibility, tribal self-determination policy, and government-to-government relationship with Indian Tribes.",public,DOE Indian Energy Policy and Programs,Tracey A. Lebeau,tracey.lebeau@hq.doe.gov,019:00
Loan Programs Projects,"The Loan Programs projects have created more than 55,000 jobs.",public,DOE Loan Programs Office,Peter Davidson,peter.davidson@hq.doe.gov,019:00
Intelligence and Counterintelligence webpage,"The U.S. Department of Energy’s Office of Intelligence and Counterintelligence is responsible for all intelligence and counterintelligence activities throughout the DOE complex, including nearly thirty intelligence and counterintelligence offices nationwide.

The Office protects vital national security information and technologies, representing intellectual property of incalculable value. Our distinctive contribution to national security is the ability to leverage the Energy Department’s unmatched scientific and technological expertise in support of policymakers as well as national security missions in defense, homeland security, cyber security, intelligence, and energy security.",public,DOE Intelligence and Counterintelligence,Charles Durant,charles.durant@hq.doe.gov,019:60
Small and Disadvantaged Business Utilization website,"The mission of the Office of Small and Disadvantaged Business Utilization (OSDBU) is to implement and execute the functions and duties of Section 8 and 15 of the Small Business Act (SBAct).  Section 15 states that a fair proportion of the total purchases and contracts for property and services for the Government are to be placed with small business concerns. 

The implementation and execution of Section 8 and 15 of the SBAct are demonstrated and measured by the Department’s ability to work towards exceeding statutory prime, sub and socio-economic small business goals, providing education on the management & operations business model, continuous improvement of best practices such as the Mentor-Protégé Program, providing information on financial assistance opportunities, providing training to small businesses, participating and conducting outreach events for small businesses, ensuring compliance with Federal Acquisition Regulations and other applicable small business laws and regulations, issuing new small business policies and updating existing small business policies at the Department.",public,DOE Small and Disadvantaged Business Utilization,John Hale,john.hale@hq.doe.gov,019:00
National Training Center,National Training Center provides for the infrastructure and applications necessary to develop and deliver safety and security training courses across the department.,restricted public,DOE,Rudy Pino,rpino@ntc.doe.gov,015:11
Survey Tool,Survey tool that allows the administrator to email a survey to a specific individual or to multiple people.  It is used for feds and contractors.,non-public,Idaho Operations Office,Tammy Peterson,peterste@id.doe.gov,015:11
Loan Programs Office website,"The Department of Energy's Loan Programs-administered by LPO-enable DOE to work with private companies and lenders to mitigate the financing risks associated with clean energy projects, and thereby encourage their development on a broader and much-needed scale.

The Loan Programs consist of three separate programs managed by two offices, the Loan Guarantee Program Office (LGP) and the Advanced Technology Vehicles Manufacturing Loan Program Office. LPO originates, guarantees, and monitors loans to support clean energy projects through these programs. The programs are:

Section 1703: Under Section 1703 of Title XVII, DOE LGP is authorized to guarantee loans for projects that employ new or significantly improved energy technologies and avoid, reduce or sequester air pollutants or greenhouse gases. 
Section 1705: Under Section 1705 of Title XVII, added by the American Reinvestment and Recovery Act (ARRA), DOE LGP is authorized to guarantee loans for certain clean energy projects that commenced construction on or before September 30, 2011. The Section 1705 program expired, pursuant to statute, on September 30, 2011 and will actively monitor projects that previously received loan guarantees under the 1705 program. LPO will no longer issue new loan guarantees under the 1705 program. 
Advanced Technology Vehicles Manufacturing (ATVM): Under Section 136 of the Energy Independence and Security Act of 2007, DOE is authorized to provide direct loans to finance advanced vehicle technologies.",public,DOE Loan Programs Office,Peter Davidson,peter.davidson@hq.doe.gov,019:00
Locator,"Holds information such as name, title, phone number, email address and location of employees at Department of Energy (DOE)",non-public,Department of Energy,Brenda Coblentz,brenda.coblentz@hq.doe.gov,019:60
Manufacturing and Energy Supply Chain,"The Office of Manufacturing and Energy Supply Chains is responsible for strengthening and securing manufacturing and energy supply chains needed to modernize the nation’s energy infrastructure and support a clean and equitable energy transition.  

The office is catalyzing the development of an energy sector industrial base through targeted investments that establish and secure domestic clean energy supply chains and manufacturing, and by engaging with private-sector companies, other Federal agencies, and key stakeholders to collect, analyze, respond to, and share data about energy supply chains to inform future decision making and investment. The office manages programs that develop clean domestic manufacturing and workforce capabilities, with an emphasis on opportunities for small and medium enterprises and communities in energy transition.  

The Office of Manufacturing and Energy Supply Chains coordinates closely with the Office of Clean Energy Demonstrations for the management of major demonstration projects, and across all of DOE’s programs on manufacturing and supply chain issues, including with the Advanced Manufacturing Office in the Office of Energy Efficiency and Renewable Energy.",public,Office of Manufacturing and Energy Supply Chains,David Howell,david.howell@hq.doe.gov,015:11
NEPA Policy and Compliance,"NEPA is our basic national charter for protection of the environment. Signed into law by President Richard Nixon on January 1, 1970, NEPA was established to foster and promote the general welfare, to create and maintain conditions under which man and nature can exist in productive harmony, and fulfill the social, economic, and other requirements of present and future generations of Americans. NEPA establishes policy, sets goals (section 101), and provides means (section 102) for carrying out the policy. Section 102(2) contains “action-forcing” provisions to make sure that federal agencies act according to the letter and spirit of the Act. The President, federal agencies, and the courts share responsibility for enforcing the Act so as to achieve the substantive requirements of section 101.",public,Office of NEPA Policy and Compliance,Brian Costner,brian.costner@hq.doe.gov,015:11
No FEAR Act,"The No FEAR Act requires each Federal agency to post on its public website summary statistical data relating to equal employment opportunity complaints filed against the agency on a quarterly basis during each fiscal year, and cumulative fiscal year end data for the five preceding years.",public,Office of Economic Impact and Diversity,Civil Rights,civilrights@hq.doe.gov,019:60
Pay Administration,Pay Administration is a application that provides the capability to denote final acceptance of various personnel actions.,non-public,Department of Energy,Brenda Coblentz,brenda.coblentz@hq.doe.gov,019:60
Personnel,The Personnel application is used by the Human Resources Staff and records a wide variety of employment and position information on Government employees working for the Department of Energy,non-public,Department of Energy,Brenda Coblentz,brenda.coblentz@hq.doe.gov,019:60
Policy,"The Office of Policy supports the Secretary of Energy, Deputy Secretary, Under Secretaries, and the entire Department of Energy, providing analysis on domestic energy policy and related integration of energy systems. Its work spans technology policy, deployment and infrastructure, state, local, tribal, and territorial policy, and energy jobs. It provides expertise in electricity systems, buildings and industry, mobility, energy security, and all parts of the transition to a clean energy economy for all. Working in coordination with the White House, Capitol Hill, other federal agencies, and local stakeholders, the Office of Policy aims to facilitate the transition to a zero-emissions, equitable, and secure energy economy.",public,Office of Policy,Jim Fores,jim.fores@hq.doe.gov,015:11
Project Management,"the Department of Energy’s Enterprise Project Management Organization (EPMO), providing leadership and assistance in developing and implementing DOE-wide policies, procedures, programs, and management systems pertaining to project management, and independently monitors, assesses, and reports on project execution performance. The office validates project performance baselines–scope, cost and schedule–of the Department’s largest construction and environmental clean-up projects prior to budget request to Congress—an active project portfolio totaling over $30 billion. The office also serves as Executive Secretariat for the Department’s Energy Systems Acquisition Advisory Board (ESAAB) and the Project Management Risk Committee (PMRC). In these capacities, the Director is accountable to the Deputy Secretary.",public,Office of Project Management,Garrett Richardson,garrett.richardson@hq.doe.gov,015:11
Records Archives,System preserves electronic Records,non-public,Department of Energy,Brenda Coblentz,brenda.coblentz@hq.doe.gov,019:60
